algorithm,descriptors,training_set,word_embedding,MRR
custom,atm,googleplay,wm,0.795891209
custom,craftdroid,standard,wm,0.766266855
custom,union,googleplay,w2v,0.756831028
craftdroid,atm,googleplay,wm,0.746769102
custom,atm,empty,jaccard,0.738217364
atm,intersection,blogs,wm,0.734133309
custom,union,empty,edit_distance,0.729021026
custom,intersection,blogs,glove,0.726126884
custom,intersection,empty,edit_distance,0.722191016
craftdroid,intersection,standard,use,0.717869659
custom,union,blogs,glove,0.715058713
craftdroid,atm,blogs,wm,0.710962539
atm,intersection,googleplay,fast,0.706564102
custom,union,standard,bert,0.70294913
atm,intersection,empty,jaccard,0.69932864
atm,union,standard,nnlm,0.695644824
craftdroid,union,android,wm,0.687914653
atm,craftdroid,android,wm,0.682398012
craftdroid,union,blogs,w2v,0.674185816
craftdroid,union,android,w2v,0.664955844
atm,union,standard,bert,0.655497556
atm,craftdroid,standard,fast,0.638173347
atm,union,empty,edit_distance,0.622853125
