src,target,task
a13,a11,b12
a21,a22,b22
a11,a13,b12
a11,a14,b12
a11,a16,b12
a13,a14,b12
a13,a16,b12
a14,a11,b12
a14,a13,b12
a14,a16,b12
a16,a11,b12
a16,a13,b12
a16,a14,b12
a21,a23,b22
a21,a24,b22
a21,a25,b22
a22,a21,b22
a22,a23,b22
a22,a24,b22
a22,a25,b22
a23,a21,b22
a23,a22,b22
a23,a24,b22
a23,a25,b22
a24,a21,b22
a24,a22,b22
a24,a23,b22
a24,a25,b22
a25,a21,b22
a25,a22,b22
a25,a23,b22
a25,a24,b22
a33,a35,b31
a35,a33,b31
a33,a35,b32
a35,a33,b32
a43,a44,b41
a43,a45,b41
a44,a43,b41
a44,a45,b41
a45,a43,b41
a45,a44,b41
a43,a44,b42
a43,a45,b42
a44,a43,b42
a44,a45,b42
a45,a43,b42
a45,a44,b42
a51,a52,b52
a51,a53,b52
a51,a54,b52
a51,a55,b52
a52,a51,b52
a52,a53,b52
a52,a54,b52
a52,a55,b52
a53,a51,b52
a53,a52,b52
a53,a54,b52
a53,a55,b52
a54,a51,b52
a54,a52,b52
a54,a53,b52
a54,a55,b52
a55,a51,b52
a55,a52,b52
a55,a53,b52
a55,a54,b52
